n01440764 鲤鱼，丁鱼岁
n04429376 王座
n04435653 瓦抢劫
n04442312 烤面包机
n04443257 烟店，香烟店，烟草
n04447861 马桶
n04456115 火炬
n04458633 图腾柱
n04461696 拖车，拖车车，清障车
n04462240 玩具店
n04465501 拖拉机
n04467665 拖车货车，半挂牵引车，卡车专心，专注，铰接式卡车，半
n04476259 托盘
n04479046 风衣
n04482393 三轮车，三轮车，velocipede 
n04483307 三体船
n04485082 三角架
n04486054 凯旋门
n04487081 小车，小车教练，无轨电车
n04487394 长号
n04493381 浴盆，采取
n04501370 旋转栅门
n04505470 打字机键盘
n04507155 伞
n04509417 独轮车，单周期
n04515003 直立，立式钢琴
n04517823 真空，真空吸尘器
n04522168 花瓶
n04523525 金库
n04525038 绒
n04525305 自动售货机
n04532106 法衣
n04532670 高架桥
n04536866 小提琴，小提琴
n04540053 排球
n04542943 华夫饼干的铁
n04548280 挂钟
n04548362 钱包，皮夹，notecase ，钱袋
n04550184 衣柜或壁橱按
n04552348 战机，军用飞机
n04553703 洗脸盆，洗手，洗脸盆，水槽，洗手盆
n04554684 垫圈，自动洗衣机，洗衣机
n04557648 水瓶
n04560804 水壶
n04562935 水塔
n04579145 威士忌酒壶
n04579432 哨子
n04584207 楔形
n04589890 窗纱
n04590129 窗帘
n04591157 温莎领带
n04591713 酒瓶
n04592741 翼
n04596742 炒锅
n04597913 木勺
n04599235 羊毛，羊毛，羊毛
n04604644 蠕虫栅栏，栅栏蛇，snake-铁路护栏网，围栏弗吉尼亚
n04606251 沉船
n04612504  YAWL 
n04613696 蒙古包
n06359193 网站，网站，互联网网站，网站
n06596364 漫画书
n06785654 字谜，纵横
n06794110 路牌
n06874185 交通灯，交通信号，停止光
n07248320 书皮，防尘罩，防尘套，灰尘包装
n07565083 菜单
n07579787 板
n07583066 鳄梨
n07584110 清炖
n07590611 火锅，火锅
n07613480 琐事
n07614500 冰淇淋，冰淇淋
n07615774 冰棍，棒棒糖，棒棒糖，冰棒
n07684084 法国面包
n07693725 百吉饼，Beigel 
n07695742 椒盐卷饼
n07697313 芝士汉堡
n07697537 热狗，热狗，红热
n07711569 土豆泥
n07714571 结球甘蓝
n07714990 西兰花
n07715103 菜花
n07716358 南瓜，西葫芦
n07716906 意大利面条壁球
n07717410 橡子壁球
n07717556 南瓜
n07718472 黄瓜，黄瓜
n07718747 朝鲜蓟，朝鲜蓟
n07720875 柿子椒
n07730033 刺苞菜蓟
n07734744 蘑菇
n07742313 青苹
n07745940 草莓
n07747607 橙
n07749582 柠檬
n07753113 图
n07753275 菠萝，菠萝
n07753592 香蕉
n07754684 菠萝蜜，JAK，杰克
n07760859 释迦
n07768694 石榴
n07802026 干草
n07831146 培根蛋面
n07836838 巧克力酱，巧克力糖浆
n07860988 面团
n07871810 肉块，肉饼
n07873807 比萨饼，比萨饼
n07875152  Potpie 
n07880968 卷饼
n07892512 红酒
n07920052 咖啡
n07930864 杯
n07932039 蛋酒
n09193705  ALP 
n09229709 泡沫
n09246464 悬崖，滴，落客
n09256479 珊瑚礁
n09288635 间歇泉
n09332890 湖畔，湖滨
n09399592 海角，头区主管，前陆
n09421951 沙洲，沙洲
n09428293 海滨，海岸，SEACOAST，SEACOAST 
n09468604 山谷，山谷
n09472597 火山
n09835506 棒球运动员，棒球运动员
n10148035 新郎，新郎
n10565667 潜水员
n11879895 油菜籽
n11939491 菊花
n12057211 黄色女式拖鞋，黄淑女拖鞋，杓兰，杓兰parviflorum 
n12144580 玉米
n12267677 橡子
n12620546 髋关节，玫瑰果，玫瑰果
n12768682  BUCKEYE，七叶树，板栗
n12985857 珊瑚菌
n12998815  AGRIC 
n13037406 Gyromitra 
n13040303 他犯规，腐肉木耳
n13044778 地球明星
n13052670 母鸡的最树林，树林，猪苓frondosus，灰树花母鸡
n13054560 牛肝菌
n13133613 耳，穗，头状花序
n15075141 卫生纸，卫生纸，卫生纸
